,model,n_steps,n_envs,run_time,steps_per_second
71,humanoid_mjx.xml,1,362,0.006505727767944336,55643.27511269102
72,humanoid_mjx.xml,1,431,0.0077517032623291016,55600.68354196783
73,humanoid_mjx.xml,1,512,0.00919651985168457,55673.233816400076
74,humanoid_mjx.xml,1,1,4.220008850097656e-05,23696.632768361582
75,humanoid_mjx.xml,1,1,3.790855407714844e-05,26379.270440251574
76,humanoid_mjx.xml,1,1,3.910064697265625e-05,25575.024390243903
77,humanoid_mjx.xml,1,2,5.555152893066406e-05,36002.609442060086
78,humanoid_mjx.xml,1,2,5.53131103515625e-05,36157.793103448275
79,humanoid_mjx.xml,1,2,5.459785461425781e-05,36631.47598253275
80,humanoid_mjx.xml,1,3,7.319450378417969e-05,40986.684039087944
81,humanoid_mjx.xml,1,3,0.00013208389282226562,22712.837545126353
82,humanoid_mjx.xml,1,4,9.298324584960938e-05,43018.502564102564
83,humanoid_mjx.xml,1,5,0.00011086463928222656,45100.04301075269
84,humanoid_mjx.xml,1,6,0.00012755393981933594,47038.92336448598
85,humanoid_mjx.xml,1,7,0.0001475811004638672,47431.547657512114
86,humanoid_mjx.xml,1,8,0.00016355514526367188,48913.16618075802
87,humanoid_mjx.xml,1,10,0.0001983642578125,50412.307692307695
88,humanoid_mjx.xml,1,11,0.00021648406982421875,50812.052863436125
89,humanoid_mjx.xml,1,13,0.0002532005310058594,51342.70433145009
90,humanoid_mjx.xml,1,16,0.0003085136413574219,51861.564142194744
91,humanoid_mjx.xml,1,19,0.00036334991455078125,52291.19160104987
92,humanoid_mjx.xml,1,23,0.0004343986511230469,52946.75740944018
93,humanoid_mjx.xml,1,27,0.0005066394805908203,53292.33317647059
94,humanoid_mjx.xml,1,32,0.0005955696105957031,53730.07526020816
95,humanoid_mjx.xml,1,38,0.0006990432739257812,54360.01091405184
96,humanoid_mjx.xml,1,45,0.0008289813995361328,54283.4857635893
97,humanoid_mjx.xml,1,54,0.0009882450103759766,54642.31990349819
98,humanoid_mjx.xml,1,64,0.0011677742004394531,54805.11555737036
99,humanoid_mjx.xml,1,76,0.0013821125030517578,54988.28773503537
100,humanoid_mjx.xml,1,91,0.00164794921875,55220.148148148146
101,humanoid_mjx.xml,1,108,0.0019550323486328125,55242.05268292683
102,humanoid_mjx.xml,1,128,0.0023145675659179688,55301.90688092295
103,humanoid_mjx.xml,1,152,0.002739429473876953,55486.00591818973
104,humanoid_mjx.xml,1,181,0.003259420394897461,55531.34547582474
105,humanoid_mjx.xml,1,215,0.0038759708404541016,55469.973549855444
106,humanoid_mjx.xml,1,256,0.004595756530761719,55703.5600747043
107,humanoid_mjx.xml,1,304,0.005459308624267578,55684.70678661892
108,humanoid_mjx.xml,1,362,0.00650787353515625,55624.92848769051
109,humanoid_mjx.xml,1,431,0.007736682891845703,55708.6293990755
110,humanoid_mjx.xml,1,512,0.009197711944580078,55666.01814505677
111,humanoid_mjx.xml,2,1,6.771087646484375e-05,29537.352112676057
112,humanoid_mjx.xml,2,1,5.5789947509765625e-05,35848.75213675214
113,humanoid_mjx.xml,2,1,5.435943603515625e-05,36792.14035087719
114,humanoid_mjx.xml,2,2,0.00014019012451171875,28532.680272108842
115,humanoid_mjx.xml,2,2,8.654594421386719e-05,46218.225895316806
116,humanoid_mjx.xml,2,2,8.702278137207031e-05,45964.975342465754
117,humanoid_mjx.xml,2,3,0.00012087821960449219,49636.73372781065
118,humanoid_mjx.xml,2,3,0.00011992454528808594,50031.4592445328
119,humanoid_mjx.xml,2,4,0.00015473365783691406,51701.74422187982
120,humanoid_mjx.xml,2,5,0.00018715858459472656,53430.62420382166
121,humanoid_mjx.xml,2,6,0.00021958351135253906,54648.912052117266
122,humanoid_mjx.xml,2,7,0.0002548694610595703,54930.080449017776
123,humanoid_mjx.xml,2,8,0.0002868175506591797,55784.59185369909
124,humanoid_mjx.xml,2,10,0.0003559589385986328,56186.25586068319
125,humanoid_mjx.xml,2,11,0.0003867149353027344,56889.45006165228
126,humanoid_mjx.xml,2,13,0.0004527568817138672,57425.96313849394
127,humanoid_mjx.xml,2,16,0.0005548000335693359,57678.439192092825
128,humanoid_mjx.xml,2,19,0.0006542205810546875,58084.38483965015
129,humanoid_mjx.xml,2,23,0.0007870197296142578,58448.34413813996
130,humanoid_mjx.xml,2,27,0.0009200572967529297,58691.99689038611
131,humanoid_mjx.xml,2,32,0.0010857582092285156,58944.98375054897
132,humanoid_mjx.xml,2,38,0.0012862682342529297,59085.654124189066
133,humanoid_mjx.xml,2,45,0.001520395278930664,59195.132507448645
134,humanoid_mjx.xml,2,54,0.0018181800842285156,59400.05664830842
135,humanoid_mjx.xml,2,64,0.0021550655364990234,59394.94545856843
136,humanoid_mjx.xml,2,76,0.0025534629821777344,59527.0035480859
137,humanoid_mjx.xml,2,91,0.0030701160430908203,59281.146850974605
138,humanoid_mjx.xml,2,108,0.0036211013793945312,59650.35975770345
139,humanoid_mjx.xml,2,128,0.0042896270751953125,59678.84748777234
140,humanoid_mjx.xml,2,152,0.0050830841064453125,59806.210881801126
141,humanoid_mjx.xml,2,181,0.006047248840332031,59861.932187352155
142,humanoid_mjx.xml,2,215,0.007177591323852539,59908.67696395948
143,humanoid_mjx.xml,2,256,0.008543014526367188,59932.0062513954
144,humanoid_mjx.xml,2,304,0.010147333145141602,59917.22074199384
145,humanoid_mjx.xml,2,362,0.012083053588867188,59918.62857142857
