,model,n_steps,n_envs,n_workers,run_time,steps_per_second
70,humanoid_mjx.xml,2,2,48,0.020495891571044922,195.16106367633716
71,humanoid_mjx.xml,2,3,48,0.0040531158447265625,1480.3425882352942
72,humanoid_mjx.xml,2,3,48,0.0042073726654052734,1426.0681135603786
73,humanoid_mjx.xml,2,4,48,0.003774404525756836,2119.5396374202514
74,humanoid_mjx.xml,2,5,48,0.003810405731201172,2624.3924414966837
75,humanoid_mjx.xml,2,6,48,0.0037660598754882812,3186.354013674348
76,humanoid_mjx.xml,2,7,48,0.003796815872192383,3687.30021978022
77,humanoid_mjx.xml,2,8,48,0.003968477249145508,4031.7731450886154
78,humanoid_mjx.xml,2,10,48,0.004011869430541992,4985.207107624651
79,humanoid_mjx.xml,2,11,48,0.0040547847747802734,5425.688716410889
80,humanoid_mjx.xml,2,13,48,0.004130840301513672,6294.118896456193
81,humanoid_mjx.xml,2,16,48,0.004166126251220703,7680.996222959826
82,humanoid_mjx.xml,2,19,48,0.004374027252197266,8687.645917366184
83,humanoid_mjx.xml,2,23,48,0.004503965377807617,10213.222381028003
84,humanoid_mjx.xml,2,27,48,0.0047016143798828125,11485.41663286004
85,humanoid_mjx.xml,2,32,48,0.004957675933837891,12909.274598441858
86,humanoid_mjx.xml,2,38,48,0.0052187442779541016,14562.890218831377
87,humanoid_mjx.xml,2,45,48,0.0056040287017822266,16059.874920229739
88,humanoid_mjx.xml,2,54,48,0.0057220458984375,18874.368
89,humanoid_mjx.xml,2,64,48,0.006311178207397461,20281.474519285257
90,humanoid_mjx.xml,2,76,48,0.006924867630004883,21949.878051299707
91,humanoid_mjx.xml,2,91,48,0.00729060173034668,24963.645900781583
92,humanoid_mjx.xml,2,108,48,0.006280660629272461,34391.286641612576
93,humanoid_mjx.xml,2,128,48,0.007075786590576172,36179.723161938135
94,humanoid_mjx.xml,2,152,48,0.006648540496826172,45724.32102130101
95,humanoid_mjx.xml,2,181,48,0.007332324981689453,49370.424920335565
96,humanoid_mjx.xml,2,215,48,0.007332324981689453,58644.42739155882
97,humanoid_mjx.xml,2,256,48,0.007272481918334961,70402.37511064486
98,humanoid_mjx.xml,2,304,48,0.007683515548706055,79130.4444099668
99,humanoid_mjx.xml,2,362,48,0.008706092834472656,83160.151604776
100,humanoid_mjx.xml,2,431,48,0.01056218147277832,81611.92857949031
101,humanoid_mjx.xml,2,512,48,0.008776187896728516,116679.36147785927
102,humanoid_mjx.xml,2,609,48,0.009210824966430664,132235.71226671498
103,humanoid_mjx.xml,2,724,48,0.008401870727539062,172342.5707150965
104,humanoid_mjx.xml,2,861,48,0.010500192642211914,163996.99116732136
105,humanoid_mjx.xml,2,1024,48,0.010037422180175781,204036.45111638954
