,model,n_steps,n_envs,run_time,steps_per_second
63,rodent.xml,1,91,0.12431144714355469,732.0323436900652
64,rodent.xml,1,108,0.14748263359069824,732.2896084140145
65,rodent.xml,1,128,0.17462968826293945,732.979605433818
66,rodent.xml,1,152,0.20713114738464355,733.8345870200548
67,rodent.xml,1,181,0.24808430671691895,729.5906879209949
68,rodent.xml,1,215,0.29343152046203613,732.7092865192595
69,rodent.xml,1,256,0.3491842746734619,733.1372532150746
70,rodent.xml,1,304,0.41543006896972656,731.7717775074034
71,rodent.xml,1,362,0.49500203132629395,731.3101302434412
72,rodent.xml,1,431,0.5890178680419922,731.7265288279391
73,rodent.xml,1,512,0.6987888813018799,732.6962602011032
74,rodent.xml,1,1,0.0014462471008300781,691.4447741510056
75,rodent.xml,1,1,0.0014219284057617188,703.270288397049
76,rodent.xml,1,1,0.0014052391052246094,711.6226671191042
77,rodent.xml,1,2,0.0028188228607177734,709.5160280808593
78,rodent.xml,1,2,0.0027849674224853516,718.1412550295352
79,rodent.xml,1,2,0.0027785301208496094,719.8050454779475
80,rodent.xml,1,3,0.004143238067626953,724.0713545862585
81,rodent.xml,1,3,0.0041539669036865234,722.2012282614934
82,rodent.xml,1,4,0.005537271499633789,722.3774381054898
83,rodent.xml,1,5,0.0068836212158203125,726.3618730950402
84,rodent.xml,1,6,0.008263826370239258,726.0559129857766
85,rodent.xml,1,7,0.009602069854736328,729.0094850275613
86,rodent.xml,1,8,0.010993242263793945,727.7197944002255
87,rodent.xml,1,10,0.013676881790161133,731.1608123420204
88,rodent.xml,1,11,0.015058755874633789,730.4720317917703
89,rodent.xml,1,13,0.017852067947387695,728.2069527358201
90,rodent.xml,1,16,0.021991491317749023,727.5541148538038
91,rodent.xml,1,19,0.02606987953186035,728.810425716768
92,rodent.xml,1,23,0.031468868255615234,730.8810667474809
93,rodent.xml,1,27,0.03690767288208008,731.5551995452255
94,rodent.xml,1,32,0.04378795623779297,730.794555156267
95,rodent.xml,1,38,0.05190086364746094,732.1650802984087
96,rodent.xml,1,45,0.061422109603881836,732.6352072602214
97,rodent.xml,1,54,0.07369613647460938,732.7385475438688
98,rodent.xml,1,64,0.08746528625488281,731.7188651678042
99,rodent.xml,1,76,0.10416531562805176,729.60946301336
100,rodent.xml,1,91,0.12429285049438477,732.1418700918051
101,rodent.xml,1,108,0.14728951454162598,733.2497519331409
102,rodent.xml,1,128,0.17471075057983398,732.639517460664
103,rodent.xml,1,152,0.20757079124450684,732.2802938152915
104,rodent.xml,1,181,0.24695158004760742,732.9372015563
105,rodent.xml,1,215,0.29379987716674805,731.7906395106331
106,rodent.xml,1,256,0.3496084213256836,732.2478075020936
107,rodent.xml,1,304,0.4150815010070801,732.3862886262779
108,rodent.xml,1,362,0.4938008785247803,733.0890157212101
109,rodent.xml,1,431,0.5888659954071045,731.9152461877749
110,rodent.xml,1,512,0.6984362602233887,733.066178202491
111,rodent.xml,2,1,0.002181529998779297,916.7877595628415
112,rodent.xml,2,1,0.002148866653442383,930.7231776323089
113,rodent.xml,2,1,0.0021462440490722656,931.8604754499
114,rodent.xml,2,2,0.004247903823852539,941.6409047538867
115,rodent.xml,2,2,0.004226207733154297,946.475008462146
116,rodent.xml,2,2,0.004238605499267578,943.7066036674541
117,rodent.xml,2,3,0.0063555240631103516,944.0606219754661
118,rodent.xml,2,3,0.006337881088256836,946.6886355941767
119,rodent.xml,2,4,0.008462905883789062,945.3017804823079
120,rodent.xml,2,5,0.010553359985351562,947.5655159949395
121,rodent.xml,2,6,0.012660980224609375,947.7939138294668
122,rodent.xml,2,7,0.014735698699951172,950.0737145260978
123,rodent.xml,2,8,0.016835451126098633,950.3754832679535
124,rodent.xml,2,10,0.021036863327026367,950.712075706919
125,rodent.xml,2,11,0.0231325626373291,951.0403298119041
126,rodent.xml,2,13,0.0274050235748291,948.7311670799078
127,rodent.xml,2,16,0.03363204002380371,951.4736536157603
128,rodent.xml,2,19,0.03995323181152344,951.1120446842029
129,rodent.xml,2,23,0.04888010025024414,941.0782662985689
130,rodent.xml,2,27,0.0568084716796875,950.5624496373892
131,rodent.xml,2,32,0.06725692749023438,951.5748397708581
132,rodent.xml,2,38,0.07975316047668457,952.9402915915566
133,rodent.xml,2,45,0.09439897537231445,953.4001788158752
134,rodent.xml,2,54,0.11344766616821289,951.9808000269002
135,rodent.xml,2,64,0.13445043563842773,952.0236910516628
136,rodent.xml,2,76,0.15957236289978027,952.5458997900777
137,rodent.xml,2,91,0.1911602020263672,952.081019326901
138,rodent.xml,2,108,0.2268846035003662,952.0258169464169
